SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,CATEGORY,TARGET_LABEL,CCR_2010,CCR_2011,CCR_2012,CCR_2013,CCR_2014,CCR_2015,TARGET_LABEL_SORT,COOP,COOP_CODE
20142015,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Delivery Target,,34.3,41.6,48.9,56.2,63.5,1,GRREC,902
20142015,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Actual Score,27.0,32.0,54.5,45.6,59.3,55.2,2,GRREC,902
20142015,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Met Target,,No,Yes,No,Yes,No,3,GRREC,902
20142015,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Delivery Target,,33.4,40.8,48.2,55.6,63.0,1,GRREC,902
20142015,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Actual Score,26.0,31.0,54.5,45.6,59.3,55.2,2,GRREC,902
20142015,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Met Target,,No,Yes,No,Yes,No,3,GRREC,902
20142015,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Delivery Target,,38.8,45.6,52.4,59.2,66.0,1,GRREC,902
20142015,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Actual Score,32.0,36.0,42.1,57.0,66.3,50.8,2,GRREC,902
20142015,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Met Target,,No,No,Yes,Yes,No,3,GRREC,902
20142015,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Delivery Target,,38.8,45.6,52.4,59.2,66.0,1,GRREC,902
20142015,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Actual Score,32.0,36.0,42.1,57.0,66.3,50.8,2,GRREC,902
20142015,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Met Target,,No,No,Yes,Yes,No,3,GRREC,902
20142015,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Delivery Target,,45.1,51.2,57.3,63.4,69.5,1,CKEC,901
20142015,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Actual Score,39.0,45.0,56.7,62.6,53.0,67.7,2,CKEC,901
20142015,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Met Target,,No,Yes,Yes,No,No,3,CKEC,901
20142015,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Delivery Target,,45.1,51.2,57.3,63.4,69.5,1,CKEC,901
20142015,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Actual Score,39.0,45.0,56.7,62.6,53.0,67.7,2,CKEC,901
20142015,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Met Target,,No,Yes,Yes,No,No,3,CKEC,901
20142015,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,Delivery Target,Delivery Target,,46.9,52.8,58.7,64.6,70.5,1,KEDC,903
20142015,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,Delivery Target,Actual Score,41.0,46.0,51.4,54.6,68.1,76.8,2,KEDC,903
