SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,CATEGORY,TARGET_LABEL,CCR_2015,CCR_2016,CCR_2017,CCR_2018,CCR_2019,CCR_2020,TARGET_LABEL_SORT,COOP,COOP_CODE
20152016,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,Delivery Target,Actual Score,72.7,75.6,,,,,2,SESC,907
20152016,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Delivery Target,,75.4,78.2,,,,1,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Actual Score,72.7,75.6,,,,,2,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,Delivery Target,Delivery Target,,67.2,70.8,,,,1,CKEC,901
20152016,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,Delivery Target,Actual Score,63.5,54.7,,,,,2,CKEC,901
20152016,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,Delivery Target,Delivery Target,,66.8,70.5,,,,1,CKEC,901
20152016,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,Delivery Target,Actual Score,63.1,54.7,,,,,2,CKEC,901
20152016,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,Delivery Target,Delivery Target,,73.7,76.6,,,,1,GRREC,902
20152016,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,Delivery Target,Actual Score,70.8,82.8,,,,,2,GRREC,902
20152016,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,005,BARREN,021,Barren County,,---District Total---,021,,,Delivery Target,Delivery Target,,69.6,73.0,,,,1,GRREC,902
20152016,005,BARREN,021,Barren County,,---District Total---,021,,,Delivery Target,Actual Score,66.2,78.9,,,,,2,GRREC,902
20152016,005,BARREN,021,Barren County,,---District Total---,021,,,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,Delivery Target,Delivery Target,,55.4,60.3,,,,1,KEDC,903
20152016,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,Delivery Target,Actual Score,50.4,47.9,,,,,2,KEDC,903
20152016,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,006,BATH,025,Bath County,,---District Total---,025,,,Delivery Target,Delivery Target,,55.4,60.3,,,,1,KEDC,903
20152016,006,BATH,025,Bath County,,---District Total---,025,,,Delivery Target,Actual Score,50.4,47.9,,,,,2,KEDC,903
20152016,006,BATH,025,Bath County,,---District Total---,025,,,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,Delivery Target,Delivery Target,,92.9,93.7,,,,1,NKCES,905
20152016,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,Delivery Target,Actual Score,92.1,92.5,,,,,2,NKCES,905
20152016,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,Delivery Target,Delivery Target,,92.9,93.7,,,,1,NKCES,905
20152016,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,Delivery Target,Actual Score,92.1,92.5,,,,,2,NKCES,905
20152016,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,Delivery Target,Delivery Target,,60.7,65.0,,,,1,SESC,907
20152016,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,Delivery Target,Actual Score,56.3,67.7,,,,,2,SESC,907
20152016,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,007,BELL,031,Bell County,,---District Total---,031,,,Delivery Target,Delivery Target,,59.1,63.7,,,,1,SESC,907
20152016,007,BELL,031,Bell County,,---District Total---,031,,,Delivery Target,Actual Score,54.6,65.7,,,,,2,SESC,907
20152016,007,BELL,031,Bell County,,---District Total---,031,,,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,Delivery Target,Delivery Target,,51.7,57.0,,,,1,NKCES,905
20152016,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,Delivery Target,Actual Score,46.3,53.2,,,,,2,NKCES,905
20152016,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,Delivery Target,Met Target,,Yes,,,,,3,NKCES,905
20152016,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,Delivery Target,Delivery Target,,51.7,57.0,,,,1,NKCES,905
20152016,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,Delivery Target,Actual Score,46.3,53.2,,,,,2,NKCES,905
20152016,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,Delivery Target,Met Target,,Yes,,,,,3,NKCES,905
20152016,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,Delivery Target,Delivery Target,,56.8,61.6,,,,1,SESC,907
20152016,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,Delivery Target,Actual Score,52.0,54.0,,,,,2,SESC,907
20152016,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,Delivery Target,Met Target,,No,,,,,3,SESC,907
20152016,073,MADISON,034,Berea Independent,,---District Total---,034,,,Delivery Target,Delivery Target,,56.8,61.6,,,,1,SESC,907
20152016,073,MADISON,034,Berea Independent,,---District Total---,034,,,Delivery Target,Actual Score,52.0,54.0,,,,,2,SESC,907
20152016,073,MADISON,034,Berea Independent,,---District Total---,034,,,Delivery Target,Met Target,,No,,,,,3,SESC,907
20152016,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,Delivery Target,Delivery Target,,74.4,77.3,,,,1,NKCES,905
20152016,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,Delivery Target,Actual Score,71.6,73.7,,,,,2,NKCES,905
20152016,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,Delivery Target,Delivery Target,,72.9,75.9,,,,1,NKCES,905
20152016,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,Delivery Target,Actual Score,69.9,62.4,,,,,2,NKCES,905
20152016,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,Delivery Target,Delivery Target,,73.7,76.6,,,,1,NKCES,905
20152016,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,Delivery Target,Actual Score,70.8,74.4,,,,,2,NKCES,905
20152016,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,Delivery Target,Met Target,,Yes,,,,,3,NKCES,905
20152016,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,Delivery Target,Delivery Target,,72.8,75.8,,,,1,NKCES,905
20152016,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,Delivery Target,Actual Score,69.8,72.2,,,,,2,NKCES,905
20152016,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,008,BOONE,035,Boone County,,---District Total---,035,,,Delivery Target,Delivery Target,,73.2,76.2,,,,1,NKCES,905
20152016,008,BOONE,035,Boone County,,---District Total---,035,,,Delivery Target,Actual Score,70.2,70.2,,,,,2,NKCES,905
20152016,008,BOONE,035,Boone County,,---District Total---,035,,,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,Delivery Target,Delivery Target,,75.6,78.3,,,,1,CKEC,901
20152016,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,Delivery Target,Actual Score,72.9,67.2,,,,,2,CKEC,901
20152016,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,009,BOURBON,041,Bourbon County,,---District Total---,041,,,Delivery Target,Delivery Target,,75.6,78.3,,,,1,CKEC,901
20152016,009,BOURBON,041,Bourbon County,,---District Total---,041,,,Delivery Target,Actual Score,72.9,67.2,,,,,2,CKEC,901
20152016,009,BOURBON,041,Bourbon County,,---District Total---,041,,,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,Delivery Target,Delivery Target,,71.5,74.6,,,,1,GRREC,902
20152016,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,Delivery Target,Actual Score,68.3,66.4,,,,,2,GRREC,902
20152016,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,Delivery Target,Met Target,,No,,,,,3,GRREC,902
20152016,114,WARREN,042,Bowling Green Independent,,---District Total---,042,,,Delivery Target,Delivery Target,,71.5,74.6,,,,1,GRREC,902
20152016,114,WARREN,042,Bowling Green Independent,,---District Total---,042,,,Delivery Target,Actual Score,68.3,66.2,,,,,2,GRREC,902
20152016,114,WARREN,042,Bowling Green Independent,,---District Total---,042,,,Delivery Target,Met Target,,No,,,,,3,GRREC,902
20152016,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,Delivery Target,Delivery Target,,74.0,76.9,,,,1,KEDC,903
20152016,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,Delivery Target,Actual Score,71.1,69.1,,,,,2,KEDC,903
20152016,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,010,BOYD,045,Boyd County,,---District Total---,045,,,Delivery Target,Delivery Target,,73.4,76.3,,,,1,KEDC,903
20152016,010,BOYD,045,Boyd County,,---District Total---,045,,,Delivery Target,Actual Score,70.4,69.1,,,,,2,KEDC,903
20152016,010,BOYD,045,Boyd County,,---District Total---,045,,,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,Delivery Target,Delivery Target,,75.3,78.1,,,,1,CKEC,901
20152016,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,Delivery Target,Actual Score,72.6,75.6,,,,,2,CKEC,901
20152016,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,Delivery Target,Met Target,,Yes,,,,,3,CKEC,901
20152016,011,BOYLE,051,Boyle County,,---District Total---,051,,,Delivery Target,Delivery Target,,75.3,78.1,,,,1,CKEC,901
20152016,011,BOYLE,051,Boyle County,,---District Total---,051,,,Delivery Target,Actual Score,72.6,75.6,,,,,2,CKEC,901
20152016,011,BOYLE,051,Boyle County,,---District Total---,051,,,Delivery Target,Met Target,,Yes,,,,,3,CKEC,901
20152016,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,Delivery Target,Delivery Target,,63.0,67.1,,,,1,NKCES,905
20152016,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,Delivery Target,Actual Score,58.9,73.3,,,,,2,NKCES,905
20152016,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,Delivery Target,Met Target,,Yes,,,,,3,NKCES,905
20152016,012,BRACKEN,055,Bracken County,,---District Total---,055,,,Delivery Target,Delivery Target,,63.0,67.1,,,,1,NKCES,905
20152016,012,BRACKEN,055,Bracken County,,---District Total---,055,,,Delivery Target,Actual Score,58.9,73.3,,,,,2,NKCES,905
20152016,012,BRACKEN,055,Bracken County,,---District Total---,055,,,Delivery Target,Met Target,,Yes,,,,,3,NKCES,905
20152016,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,Delivery Target,Delivery Target,,66.3,70.1,,,,1,KVEC,904
20152016,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,Delivery Target,Actual Score,62.6,64.0,,,,,2,KVEC,904
20152016,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,Delivery Target,Met Target,,No,,,,,3,KVEC,904
20152016,013,BREATHITT,061,Breathitt County,,---District Total---,061,,,Delivery Target,Delivery Target,,66.3,70.1,,,,1,KVEC,904
20152016,013,BREATHITT,061,Breathitt County,,---District Total---,061,,,Delivery Target,Actual Score,62.6,64.0,,,,,2,KVEC,904
20152016,013,BREATHITT,061,Breathitt County,,---District Total---,061,,,Delivery Target,Met Target,,No,,,,,3,KVEC,904
20152016,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,Delivery Target,Delivery Target,,73.5,76.5,,,,1,GRREC,902
20152016,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,Delivery Target,Actual Score,70.6,70.2,,,,,2,GRREC,902
20152016,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,Delivery Target,Met Target,,No,,,,,3,GRREC,902
20152016,014,BRECKINRIDGE,065,Breckinridge County,,---District Total---,065,,,Delivery Target,Delivery Target,,73.5,76.5,,,,1,GRREC,902
20152016,014,BRECKINRIDGE,065,Breckinridge County,,---District Total---,065,,,Delivery Target,Actual Score,70.6,70.2,,,,,2,GRREC,902
20152016,014,BRECKINRIDGE,065,Breckinridge County,,---District Total---,065,,,Delivery Target,Met Target,,No,,,,,3,GRREC,902
20152016,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,Delivery Target,Delivery Target,,85.5,87.1,,,,1,OVEC,906
20152016,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,Delivery Target,Actual Score,83.9,84.4,,,,,2,OVEC,906
20152016,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,Delivery Target,Met Target,,No,,,,,3,OVEC,906
20152016,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,Delivery Target,Delivery Target,,89.8,91.0,,,,1,OVEC,906
20152016,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,Delivery Target,Actual Score,88.7,93.8,,,,,2,OVEC,906
20152016,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,Delivery Target,Met Target,,Yes,,,,,3,OVEC,906
20152016,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000154,Delivery Target,Delivery Target,,88.3,89.6,,,,1,OVEC,906
